Milliseconds,Latitude,Longitude,Altitude,Speed,Speed3D,TS,GpsAccuracy,GpsFix
8082,51.5383774,-0.1442071,30.397,2.483,2.5,1688897946982000,134,3
8134,51.5383794,-0.1442063,30.266,2.562,2.5,1688897947034000,134,3
8186,51.5383807,-0.1442049,30.123,2.54,2.58,1688897947086000,134,3
8238,51.5383821,-0.1442038,29.957,2.45,2.56,1688897947138000,134,3
8290,51.5383838,-0.1442031,29.822,2.411,2.47,1688897947190000,134,3
8342,51.5383857,-0.1442021,29.633,2.589,2.43,1688897947242000,134,3
8394,51.5383873,-0.1442005,29.487,2.635,2.61,1688897947294000,134,3
8446,51.5383884,-0.1441991,29.354,2.546,2.66,1688897947346000,134,3
8498,51.5383895,-0.1441975,29.201,2.504,2.57,1688897947398000,134,3
8551,51.5383907,-0.1441958,29.152,2.525,2.53,1688897947451000,134,3
8603,51.5383917,-0.1441944,29.08,2.509,2.55,1688897947503000,134,3
8655,51.5383928,-0.144193,28.944,2.49,2.53,1688897947555000,134,3
8707,51.5383943,-0.144192,28.926,2.567,2.52,1688897947607000,134,3
8759,51.5383948,-0.1441901,28.85,2.64,2.6,1688897947659000,134,3
8811,51.5383954,-0.1441883,28.79,2.537,2.67,1688897947711000,134,3
8863,51.5383959,-0.1441866,28.762,2.388,2.57,1688897947763000,134,3
8915,51.5383975,-0.1441857,28.758,2.484,2.43,1688897947815000,134,3
8967,51.5383984,-0.1441841,28.721,2.588,2.52,1688897947867000,134,3
9020,51.5383991,-0.1441823,28.659,2.56,2.62,1688897947920000,121,3
9075,51.5384,-0.1441808,28.578,2.428,2.6,1688897947975000,121,3
9130,51.5384016,-0.1441792,28.537,2.621,2.47,1688897948030000,121,3
9185,51.5384031,-0.1441779,28.546,2.646,2.65,1688897948085000,121,3
9240,51.5384044,-0.1441766,28.514,2.711,2.67,1688897948140000,121,3
9295,51.5384061,-0.1441751,28.569,2.694,2.74,1688897948195000,121,3
9350,51.5384073,-0.1441734,28.627,2.6,2.71,1688897948250000,121,3
9405,51.5384083,-0.1441717,28.636,2.605,2.61,1688897948305000,121,3
9460,51.5384095,-0.1441699,28.563,2.808,2.62,1688897948360000,121,3
9515,51.5384105,-0.1441685,28.504,2.65,2.82,1688897948415000,121,3
9570,51.5384116,-0.1441669,28.469,2.694,2.66,1688897948470000,121,3
9625,51.5384126,-0.1441654,28.478,2.592,2.71,1688897948525000,121,3
9680,51.5384139,-0.1441639,28.472,2.622,2.6,1688897948580000,121,3
9735,51.5384148,-0.1441617,28.468,2.874,2.63,1688897948635000,121,3
9790,51.5384164,-0.1441605,28.529,2.828,2.88,1688897948690000,121,3
9845,51.5384169,-0.144159,28.379,2.669,2.83,1688897948745000,121,3
9900,51.5384176,-0.1441573,28.355,2.611,2.68,1688897948800000,121,3
9955,51.5384184,-0.1441551,28.375,2.75,2.62,1688897948855000,121,3
10010,51.5384191,-0.1441532,28.319,2.754,2.76,1688897948910000,121,3
10065,51.53842,-0.1441519,28.284,2.543,2.77,1688897948965000,121,3
10120,51.5384211,-0.1441507,28.25,2.455,2.56,1688897949020000,121,3
10175,51.5384226,-0.1441493,28.336,2.63,2.47,1688897949075000,121,3
10230,51.5384237,-0.144148,28.343,2.582,2.64,1688897949130000,121,3
10285,51.5384245,-0.1441464,28.29,2.606,2.59,1688897949185000,121,3
10340,51.5384254,-0.1441445,28.275,2.747,2.62,1688897949240000,121,3
10395,51.5384261,-0.1441424,28.248,2.836,2.76,1688897949295000,121,3
10450,51.5384267,-0.1441405,28.246,2.709,2.84,1688897949350000,121,3
10505,51.538428,-0.1441393,28.259,2.668,2.72,1688897949405000,121,3
10560,51.5384288,-0.1441376,28.232,2.682,2.68,1688897949460000,121,3
10615,51.5384299,-0.1441357,28.238,2.836,2.69,1688897949515000,121,3
10670,51.5384311,-0.1441343,28.229,2.803,2.84,1688897949570000,121,3
10725,51.5384321,-0.1441326,28.253,2.842,2.81,1688897949625000,121,3
10780,51.5384329,-0.1441306,28.216,2.867,2.85,1688897949680000,121,3
10835,51.5384334,-0.1441287,28.209,2.74,2.87,1688897949735000,121,3
10890,51.5384342,-0.1441268,28.248,2.705,2.75,1688897949790000,121,3
10945,51.5384356,-0.1441253,28.235,2.788,2.71,1688897949845000,121,3
11000,51.5384367,-0.1441236,28.262,2.785,2.79,1688897949900000,121,3
11055,51.5384377,-0.1441218,28.212,2.871,2.79,1688897949955000,121,3
11110,51.5384385,-0.14412,28.225,2.771,2.88,1688897950010000,121,3
11165,51.5384397,-0.1441182,28.169,2.865,2.77,1688897950065000,121,3
11220,51.5384406,-0.1441164,28.201,2.731,2.87,1688897950120000,121,3
11275,51.538441,-0.1441144,28.141,2.63,2.73,1688897950175000,121,3
11330,51.5384421,-0.1441126,28.184,2.688,2.64,1688897950230000,121,3
11385,51.5384435,-0.1441108,28.229,2.851,2.69,1688897950285000,121,3
11440,51.5384447,-0.1441089,28.254,2.96,2.85,1688897950340000,121,3
11495,51.5384457,-0.1441073,28.243,2.798,2.96,1688897950395000,121,3
11550,51.5384467,-0.1441055,28.226,2.812,2.8,1688897950450000,121,3
11605,51.5384478,-0.1441035,28.269,2.939,2.81,1688897950505000,121,3
11660,51.5384487,-0.1441016,28.173,3.001,2.94,1688897950560000,121,3
11715,51.5384497,-0.1440997,28.222,2.938,3,1688897950615000,121,3
11770,51.5384508,-0.1440982,28.232,2.734,2.94,1688897950670000,121,3
11825,51.538452,-0.1440967,28.21,2.834,2.74,1688897950725000,121,3
11880,51.5384531,-0.144095,28.213,2.91,2.84,1688897950780000,121,3
11935,51.5384541,-0.144093,28.235,2.968,2.91,1688897950835000,121,3
11990,51.5384549,-0.1440911,28.223,2.981,2.97,1688897950890000,121,3
12048,51.5384559,-0.1440895,28.156,2.94,2.98,1688897950948000,121,3
12106,51.5384568,-0.1440878,28.123,2.86,2.94,1688897951006000,121,3
12164,51.5384578,-0.1440862,28.1,2.857,2.86,1688897951064000,121,3
12222,51.5384587,-0.1440844,28.127,2.869,2.86,1688897951122000,121,3
12280,51.5384599,-0.1440828,28.17,2.884,2.87,1688897951180000,121,3
12338,51.5384608,-0.1440809,28.171,2.951,2.88,1688897951238000,121,3
12396,51.5384619,-0.1440794,28.164,2.912,2.95,1688897951296000,121,3
12454,51.5384628,-0.1440778,28.182,2.904,2.91,1688897951354000,121,3
12512,51.5384638,-0.1440761,28.202,3.002,2.9,1688897951412000,121,3
12570,51.538465,-0.1440741,28.303,3.098,3,1688897951470000,121,3
12628,51.5384659,-0.1440723,28.361,3.105,3.1,1688897951528000,121,3
12686,51.538467,-0.1440704,28.367,3.17,3.11,1688897951586000,121,3
12744,51.5384679,-0.1440686,28.358,3.144,3.17,1688897951644000,121,3
12802,51.5384688,-0.144067,28.339,3.062,3.14,1688897951702000,121,3
12860,51.5384698,-0.1440652,28.336,3.062,3.06,1688897951760000,121,3
12918,51.5384709,-0.1440635,28.353,3.083,3.06,1688897951818000,121,3
12976,51.5384719,-0.1440617,28.352,3.077,3.08,1688897951876000,121,3
13035,51.5384729,-0.1440603,28.348,3.005,3.08,1688897951935000,121,3
13087,51.5384739,-0.1440587,28.333,3.031,3.01,1688897951987000,121,3
13139,51.5384753,-0.1440569,28.387,3.233,3.03,1688897952039000,121,3
13191,51.5384763,-0.1440549,28.409,3.289,3.23,1688897952091000,121,3
13243,51.5384776,-0.1440534,28.445,3.212,3.29,1688897952143000,121,3
13295,51.5384787,-0.1440516,28.466,3.226,3.21,1688897952195000,121,3
13347,51.5384799,-0.1440499,28.473,3.29,3.23,1688897952247000,121,3
13399,51.5384811,-0.144048,28.493,3.399,3.29,1688897952299000,121,3
13451,51.5384821,-0.1440458,28.509,3.466,3.4,1688897952351000,121,3
13503,51.5384832,-0.1440441,28.509,3.372,3.47,1688897952403000,121,3
13556,51.5384842,-0.1440422,28.494,3.368,3.37,1688897952456000,121,3
13608,51.5384852,-0.1440401,28.5,3.419,3.37,1688897952508000,121,3
13660,51.5384863,-0.1440379,28.503,3.468,3.42,1688897952560000,121,3
13712,51.5384875,-0.1440356,28.498,3.568,3.47,1688897952612000,121,3
13764,51.5384887,-0.1440335,28.49,3.559,3.57,1688897952664000,121,3
13816,51.5384899,-0.1440314,28.481,3.561,3.56,1688897952716000,121,3
13868,51.538491,-0.1440293,28.461,3.622,3.56,1688897952768000,121,3
13920,51.5384926,-0.1440274,28.472,3.688,3.62,1688897952820000,121,3
13972,51.5384941,-0.1440257,28.48,3.616,3.69,1688897952872000,121,3
14025,51.5384955,-0.144024,28.497,3.53,3.62,1688897952925000,121,3
14080,51.5384968,-0.144022,28.526,3.52,3.53,1688897952980000,121,3
14135,51.5384981,-0.14402,28.517,3.5,3.52,1688897953035000,121,3
14190,51.5384993,-0.1440182,28.461,3.412,3.5,1688897953090000,121,3
14245,51.5385006,-0.1440163,28.433,3.422,3.41,1688897953145000,121,3
14300,51.5385018,-0.1440141,28.415,3.492,3.42,1688897953200000,121,3
14355,51.5385032,-0.1440119,28.429,3.585,3.49,1688897953255000,121,3
14410,51.5385045,-0.1440099,28.438,3.541,3.59,1688897953310000,121,3
14465,51.5385059,-0.1440079,28.477,3.525,3.54,1688897953365000,121,3
14520,51.5385073,-0.144006,28.483,3.552,3.53,1688897953420000,121,3
14575,51.5385087,-0.1440039,28.486,3.714,3.55,1688897953475000,121,3
14630,51.5385102,-0.1440018,28.521,3.822,3.71,1688897953530000,121,3
14685,51.5385118,-0.1439997,28.559,3.879,3.82,1688897953585000,121,3
14740,51.5385132,-0.1439976,28.557,3.838,3.88,1688897953640000,121,3
14795,51.5385148,-0.1439957,28.591,3.88,3.84,1688897953695000,121,3
14850,51.538516,-0.1439937,28.589,3.779,3.88,1688897953750000,121,3
14905,51.5385173,-0.1439917,28.599,3.759,3.78,1688897953805000,121,3
14960,51.5385188,-0.1439895,28.644,3.837,3.76,1688897953860000,121,3
15015,51.5385201,-0.1439872,28.614,3.844,3.84,1688897953915000,119,3
15070,51.5385215,-0.143985,28.601,3.872,3.84,1688897953970000,119,3
15125,51.5385228,-0.1439826,28.612,3.998,3.87,1688897954025000,119,3
15180,51.5385241,-0.1439804,28.57,4.031,4,1688897954080000,119,3
15235,51.5385254,-0.1439784,28.559,3.864,4.03,1688897954135000,119,3
15290,51.5385265,-0.1439763,28.52,3.759,3.86,1688897954190000,119,3
15345,51.5385278,-0.1439743,28.506,3.762,3.76,1688897954245000,119,3
15400,51.5385292,-0.143972,28.482,3.853,3.76,1688897954300000,119,3
15455,51.5385305,-0.1439698,28.46,3.851,3.85,1688897954355000,119,3
15510,51.5385319,-0.1439675,28.484,3.857,3.85,1688897954410000,119,3
15565,51.5385334,-0.1439651,28.493,3.982,3.86,1688897954465000,119,3
15620,51.5385348,-0.1439628,28.497,4.038,3.98,1688897954520000,119,3
15675,51.5385361,-0.1439605,28.481,3.99,4.04,1688897954575000,119,3
15730,51.5385373,-0.1439581,28.468,3.951,3.99,1688897954630000,119,3
15785,51.5385387,-0.1439556,28.458,4.078,3.95,1688897954685000,119,3
15840,51.5385398,-0.1439529,28.445,4.092,4.08,1688897954740000,119,3
15895,51.5385407,-0.1439504,28.412,3.948,4.09,1688897954795000,119,3
15950,51.538542,-0.1439478,28.387,4.003,3.95,1688897954850000,119,3
16005,51.5385432,-0.143945,28.387,4.033,4.01,1688897954905000,119,3
16063,51.5385444,-0.1439417,28.407,4.207,4.04,1688897954963000,119,3
16121,51.5385455,-0.1439385,28.374,4.256,4.21,1688897955021000,119,3
16179,51.5385468,-0.1439353,28.31,4.407,4.26,1688897955079000,119,3
16237,51.5385481,-0.1439324,28.296,4.321,4.41,1688897955137000,119,3
16295,51.5385492,-0.1439292,28.31,4.239,4.33,1688897955195000,119,3
16353,51.5385502,-0.1439261,28.318,4.161,4.25,1688897955253000,119,3
16411,51.5385513,-0.143923,28.325,4.118,4.17,1688897955311000,119,3
16469,51.5385523,-0.1439199,28.348,4.111,4.13,1688897955369000,119,3
16527,51.5385536,-0.1439167,28.349,4.144,4.12,1688897955427000,119,3
16585,51.5385547,-0.1439135,28.356,4.148,4.16,1688897955485000,119,3
16643,51.5385556,-0.1439104,28.335,4.042,4.16,1688897955543000,119,3
16701,51.5385566,-0.1439071,28.332,4.111,4.06,1688897955601000,119,3
16759,51.5385576,-0.1439039,28.348,4.094,4.13,1688897955659000,119,3
16817,51.5385588,-0.1439009,28.337,4.116,4.11,1688897955717000,119,3
16875,51.5385595,-0.143898,28.326,4.036,4.13,1688897955775000,119,3
16933,51.538561,-0.143895,28.254,4.232,4.05,1688897955833000,119,3
16991,51.5385618,-0.1438916,28.245,4.333,4.25,1688897955891000,119,3
17050,51.5385626,-0.1438885,28.304,4.24,4.35,1688897955950000,128,3
17105,51.5385637,-0.1438854,28.286,4.145,4.26,1688897956005000,128,3
17160,51.5385645,-0.1438823,28.319,4.117,4.16,1688897956060000,128,3
17215,51.5385656,-0.143879,28.287,4.262,4.13,1688897956115000,128,3
17270,51.5385664,-0.1438757,28.258,4.235,4.28,1688897956170000,128,3
17325,51.5385672,-0.1438726,28.221,4.163,4.25,1688897956225000,128,3
17380,51.5385682,-0.1438697,28.263,4.072,4.18,1688897956280000,128,3
17435,51.5385691,-0.1438665,28.246,4.139,4.09,1688897956335000,128,3
17490,51.5385699,-0.1438632,28.255,4.222,4.16,1688897956390000,128,3
17545,51.538571,-0.1438601,28.216,4.31,4.24,1688897956445000,128,3
17600,51.5385722,-0.1438568,28.22,4.465,4.33,1688897956500000,128,3
17655,51.5385734,-0.1438536,28.227,4.495,4.48,1688897956555000,128,3
17710,51.5385745,-0.1438502,28.222,4.61,4.51,1688897956610000,128,3
17765,51.5385755,-0.1438469,28.216,4.572,4.62,1688897956665000,128,3
17820,51.5385764,-0.1438439,28.216,4.399,4.59,1688897956720000,128,3
17875,51.5385775,-0.1438406,28.23,4.434,4.41,1688897956775000,128,3
17930,51.5385786,-0.1438373,28.236,4.519,4.45,1688897956830000,128,3
17985,51.5385793,-0.143834,28.208,4.443,4.53,1688897956885000,128,3
18040,51.5385801,-0.1438306,28.205,4.444,4.45,1688897956940000,128,3
18092,51.5385809,-0.1438272,28.176,4.448,4.45,1688897956992000,128,3
18144,51.5385822,-0.143824,28.27,4.494,4.46,1688897957044000,128,3
18196,51.5385827,-0.1438206,28.249,4.408,4.5,1688897957096000,128,3
18248,51.538584,-0.1438173,28.251,4.531,4.42,1688897957148000,128,3
18300,51.5385849,-0.1438142,28.179,4.41,4.54,1688897957200000,128,3
18352,51.5385859,-0.1438111,28.074,4.388,4.42,1688897957252000,128,3
18404,51.5385867,-0.1438078,28.087,4.404,4.4,1688897957304000,128,3
18456,51.5385879,-0.1438045,28.254,4.489,4.42,1688897957356000,128,3
18508,51.538589,-0.1438013,28.268,4.522,4.5,1688897957408000,128,3
18561,51.53859,-0.1437982,28.293,4.445,4.53,1688897957461000,128,3
18613,51.538591,-0.143795,28.301,4.427,4.45,1688897957513000,128,3
18665,51.5385922,-0.1437918,28.283,4.482,4.43,1688897957565000,128,3
18717,51.5385932,-0.1437885,28.35,4.548,4.49,1688897957617000,128,3
18769,51.5385944,-0.1437854,28.393,4.476,4.55,1688897957669000,128,3
18821,51.5385955,-0.1437822,28.39,4.544,4.48,1688897957721000,128,3
18873,51.5385965,-0.143779,28.351,4.537,4.55,1688897957773000,128,3
18925,51.5385975,-0.1437759,28.408,4.434,4.54,1688897957825000,128,3
18977,51.5385985,-0.1437727,28.422,4.471,4.44,1688897957877000,128,3
19030,51.5385994,-0.1437693,28.413,4.586,4.48,1688897957930000,128,3
19085,51.5386006,-0.1437662,28.451,4.559,4.59,1688897957985000,128,3
19140,51.5386019,-0.143763,28.481,4.616,4.56,1688897958040000,128,3
19195,51.538603,-0.1437597,28.521,4.631,4.62,1688897958095000,128,3
19250,51.5386041,-0.1437565,28.575,4.608,4.64,1688897958150000,128,3
19305,51.5386051,-0.1437532,28.636,4.624,4.61,1688897958205000,128,3
19360,51.5386063,-0.14375,28.644,4.579,4.63,1688897958260000,128,3
